"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-1.565,0.245,-6.393,0,"m2 Supplementary: North American SDM-CC inclusion"
"2","Amphibians",1.509,0.322,4.693,0,"m2 Supplementary: North American SDM-CC inclusion"
"3","Birds",2.387,0.474,5.032,0,"m2 Supplementary: North American SDM-CC inclusion"
"4","Lichens",0.597,0.334,1.785,0.074,"m2 Supplementary: North American SDM-CC inclusion"
"5","Mammals",1.235,0.353,3.503,0,"m2 Supplementary: North American SDM-CC inclusion"
"6","Molluscs",0.821,0.273,3.01,0.003,"m2 Supplementary: North American SDM-CC inclusion"
"7","Reptiles",1.335,0.345,3.869,0,"m2 Supplementary: North American SDM-CC inclusion"
"8","VascularPlants",1.192,0.639,1.866,0.062,"m2 Supplementary: North American SDM-CC inclusion"
"9","Threatened",-0.173,0.215,-0.804,0.421,"m2 Supplementary: North American SDM-CC inclusion"
"10","Endangered",-0.199,0.215,-0.928,0.353,"m2 Supplementary: North American SDM-CC inclusion"
"11","Rangesize",1.328,0.253,5.245,0,"m2 Supplementary: North American SDM-CC inclusion"
"12","Year",-0.398,0.213,-1.871,0.061,"m2 Supplementary: North American SDM-CC inclusion"
"13","CCThreat",-0.158,0.195,-0.809,0.418,"m2 Supplementary: North American SDM-CC inclusion"
