"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-3.36,87.482,-0.038,0.969,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"2","Amphibians",1.26,0.272,4.629,0,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"3","Birds",2.019,0.397,5.08,0,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"4","Lichens",-2.895,312.344,-0.009,0.993,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"5","Mammals",1.062,0.301,3.523,0,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"6","Molluscs",-2.406,322.183,-0.007,0.994,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"7","Reptiles",1.096,0.295,3.713,0,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"8","VascularPlants",0.176,0.583,0.302,0.762,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"9","Threatened",0.011,0.244,0.045,0.964,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"10","Endangered",-0.184,0.241,-0.763,0.445,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"11","Rangesize",1.215,0.333,3.646,0,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"12","CCThreat",-0.057,0.219,-0.261,0.794,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
"13","Year",-0.059,0.238,-0.247,0.805,"m4 Supplementary: Canada-inclusive SDM-CC inclusion"
