"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-4.058,89.632,-0.045,0.964,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
"2","Amphibians",1.079,0.178,6.072,0,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
"3","Lichens",-3.275,294.18,-0.011,0.991,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
"4","Mammals",1.008,0.213,4.726,0,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
"5","Molluscs",-2.771,305.468,-0.009,0.993,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
"6","Reptiles",0.882,0.21,4.2,0,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
"7","VascularPlants",-0.126,0.437,-0.288,0.773,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
"8","Threatened",0.024,0.092,0.266,0.79,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
"9","Endangered",-0.24,0.094,-2.556,0.011,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
"10","Rangesize",0.754,0.169,4.457,0,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
"11","Year",0.103,0.086,1.204,0.229,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
"12","CCThreat",0.028,0.093,0.303,0.762,"m6 Supplementary: Canada-inclusive SDM-CC research effort"
