"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-1.576,0.189,-8.35,0,"m8: North American SDM-CC research effort"
"2","Amphibians",0.829,0.128,6.473,0,"m8: North American SDM-CC research effort"
"3","Lichens",-0.127,0.301,-0.421,0.674,"m8: North American SDM-CC research effort"
"4","Mammals",0.615,0.154,3.998,0,"m8: North American SDM-CC research effort"
"5","Molluscs",0.14,0.198,0.707,0.48,"m8: North American SDM-CC research effort"
"6","Reptiles",0.597,0.155,3.845,0,"m8: North American SDM-CC research effort"
"7","VascularPlants",0.091,0.293,0.309,0.758,"m8: North American SDM-CC research effort"
"8","Threatened",-0.047,0.112,-0.417,0.677,"m8: North American SDM-CC research effort"
"9","Endangered",-0.211,0.108,-1.956,0.051,"m8: North American SDM-CC research effort"
"10","Rangesize",0.485,0.087,5.599,0,"m8: North American SDM-CC research effort"
"11","Year",0.039,0.103,0.376,0.707,"m8: North American SDM-CC research effort"
"12","CCThreat",-0.062,0.106,-0.582,0.561,"m8: North American SDM-CC research effort"
