"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-0.569,0.147,-3.882,0,"m1 Supplementary: North American SDM inclusion"
"2","Birds",1.179,0.216,5.453,0,"m1 Supplementary: North American SDM inclusion"
"3","Lichens",0.107,0.14,0.767,0.443,"m1 Supplementary: North American SDM inclusion"
"4","Mammals",0.471,0.152,3.105,0.002,"m1 Supplementary: North American SDM inclusion"
"5","Molluscs",-0.018,0.157,-0.116,0.908,"m1 Supplementary: North American SDM inclusion"
"6","Reptiles",0.495,0.153,3.239,0.001,"m1 Supplementary: North American SDM inclusion"
"7","VascularPlants",-0.174,0.22,-0.79,0.43,"m1 Supplementary: North American SDM inclusion"
"8","Threatened",-0.127,0.171,-0.74,0.459,"m1 Supplementary: North American SDM inclusion"
"9","Endangered",-0.254,0.172,-1.473,0.141,"m1 Supplementary: North American SDM inclusion"
"10","Rangesize",0.546,0.179,3.053,0.002,"m1 Supplementary: North American SDM inclusion"
"11","Year",-0.144,0.165,-0.873,0.383,"m1 Supplementary: North American SDM inclusion"
