"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",0.149,0.131,1.137,0.255,"m2: North American SDM-CC inclusion"
"2","Amphibians",0.933,0.249,3.75,0,"m2: North American SDM-CC inclusion"
"3","Birds",1.092,0.198,5.524,0,"m2: North American SDM-CC inclusion"
"4","Lichens",0.248,0.126,1.97,0.049,"m2: North American SDM-CC inclusion"
"5","Mammals",0.499,0.146,3.427,0.001,"m2: North American SDM-CC inclusion"
"6","Molluscs",0.417,0.133,3.131,0.002,"m2: North American SDM-CC inclusion"
"7","Reptiles",0.417,0.141,2.963,0.003,"m2: North American SDM-CC inclusion"
"8","VascularPlants",0.338,0.202,1.674,0.094,"m2: North American SDM-CC inclusion"
"9","Threatened",-0.077,0.149,-0.517,0.605,"m2: North American SDM-CC inclusion"
"10","Endangered",-0.009,0.152,-0.061,0.951,"m2: North American SDM-CC inclusion"
"11","Rangesize",0.352,0.137,2.558,0.011,"m2: North American SDM-CC inclusion"
"12","Year",-0.019,0.14,-0.135,0.892,"m2: North American SDM-CC inclusion"
"13","CCThreat",0.182,0.125,1.454,0.146,"m2: North American SDM-CC inclusion"
