"","Variables","Standardized effects","Standard Error","Statistic","p-value","model"
"1","(Intercept)",-3.964,91.819,-0.043,0.966,"m6: Canada-inclusive SDM-CC research effort"
"2","Amphibians",1.11,0.178,6.238,0,"m6: Canada-inclusive SDM-CC research effort"
"3","Lichens",-3.259,304.397,-0.011,0.991,"m6: Canada-inclusive SDM-CC research effort"
"4","Mammals",0.99,0.213,4.648,0,"m6: Canada-inclusive SDM-CC research effort"
"5","Molluscs",-2.772,308.926,-0.009,0.993,"m6: Canada-inclusive SDM-CC research effort"
"6","Reptiles",0.924,0.21,4.408,0,"m6: Canada-inclusive SDM-CC research effort"
"7","VascularPlants",-0.098,0.438,-0.225,0.822,"m6: Canada-inclusive SDM-CC research effort"
"8","Threatened",0.021,0.092,0.226,0.821,"m6: Canada-inclusive SDM-CC research effort"
"9","Endangered",-0.26,0.093,-2.785,0.005,"m6: Canada-inclusive SDM-CC research effort"
"10","Rangesize",0.417,0.074,5.623,0,"m6: Canada-inclusive SDM-CC research effort"
"11","Year",0.08,0.088,0.914,0.361,"m6: Canada-inclusive SDM-CC research effort"
"12","CCThreat",0.014,0.094,0.153,0.878,"m6: Canada-inclusive SDM-CC research effort"
